date,region,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,precipitation,hospital_visits,emergency_visits,mobility_index,school_closures,public_transport_usage,mask_usage_rate,lockdown_status,industrial_activity,vehicle_count,construction_activity,respiratory_admissions,population_density,green_cover_percentage
2020-01-01,East,69.60220225289211,66.91415123926329,92.99609078749398,55.4502334540768,33.154911543313716,2.1845106218100696,1.0,22.711427611867197,24.26650516543953,5.204995195329385,0.1798322955808395,18,6,77.2706825112848,0,116.36264891431676,75.70616232017885,0,161.0672344489607,9688.75022376134,83.5340293378041,11,1957.6372866453291,26.806147219111928
2020-01-02,Central,81.99975396883669,74.88004768127851,106.75076874047113,64.89331407550654,37.32277075783951,2.603011808646751,1.0,21.14739745079128,33.945597101052066,6.235446359514622,3.278768084678385,20,8,91.5314704085156,0,145.79594168867524,69.6528024235314,0,179.9559454461104,12184.774656967458,101.75419687582882,13,2962.7694704788737,16.304565209147725
2020-01-03,East,19.289083234349125,20.251353587419374,31.86450988550236,16.728087252148462,9.151172593425347,0.5379622027951241,1.0,25.44636573075957,10.0,5.673999324823816,1.5022392609331192,18,8,83.6548361758187,0,23.312087998528515,82.56118264903823,1,54.5897758644809,2483.6749176984695,20.07611900199093,3,6912.007042853162,50.870056533091365
2020-01-04,West,36.51707993642975,38.82169414917364,41.80866866904036,31.213466354823453,16.281093647489854,1.1306123219149873,1.0,23.915355921485602,10.0,8.496463487003405,9.061902459259956,18,4,59.75295025708452,0,54.54546843471108,73.64283618978098,0,93.76729383736287,5577.484976251688,49.48089644385914,6,9227.543628148624,43.45849077571857
2020-01-05,South,31.81304596461124,42.146894434038494,62.93855956674298,34.02835493178015,25.780305673358477,1.6091148891168994,1.0,22.844191351331084,25.753335090866738,1.184104177472853,1.7583267008492487,21,5,77.39246916857282,1,77.91133234127389,68.6881056318394,0,127.85815543487386,7137.297779382735,46.96154459663529,8,1277.8101746970754,35.78113608085259
2020-01-06,South,42.40125133533611,50.093461479413044,70.1499144642287,46.090484408856916,31.09174606480226,1.762110971634252,1.0,22.721885353914377,13.796533183752892,14.573102914627729,3.942827140115661,17,6,70.42057137930385,0,92.91215921316889,67.39377816435257,0,149.1008962403967,8122.223364429548,72.66631457467733,9,6428.6226926421405,35.295833996883076
2020-01-07,West,46.28351483596754,48.38352120950186,56.10526929436559,37.99304118099183,24.725911580497993,1.5273744141496541,1.0,21.873092397630074,16.810516349714007,14.046765517082418,7.120775120714814,16,3,88.32795951770166,0,80.97017767622856,57.89534971415681,0,116.58952175403465,7246.518405305486,62.745779360799176,8,3831.189451697685,23.605445745553837
2020-01-08,West,78.98752439003012,77.05127222296926,108.24130881911877,62.1565425171026,38.04758042180769,2.648267064615703,1.0,21.837827617405555,26.509141066258945,14.016099699232488,8.15421660016061,14,4,88.88058650790202,0,136.0430798796709,76.47065946538922,0,191.62224119437045,11477.146621584261,82.99742402713443,13,3284.793439054146,18.838073389926308
2020-01-09,North,44.04354999000267,47.94959652748713,62.918413776786565,39.62305317925287,20.199512504258013,1.5684102663536454,1.0,25.06998124463695,17.20449358078786,13.189164361228702,4.777131531781309,26,6,78.15354225272499,0,68.74813457784857,75.99232853623145,0,149.6490512450411,6585.189243560266,61.303626435766915,8,1882.4246868591856,39.8917012932047
2020-01-10,East,60.79622849322983,63.44086821727926,90.95852481994625,55.82194221806002,30.473303828186488,2.257490580193268,1.0,23.38577290933153,22.240294034732273,9.904894532725946,1.8113500960839213,20,5,95.40823636877248,0,113.96853689296549,79.53847748714853,0,146.1196958218176,10283.065872786852,87.89721210060596,11,8892.77833533184,41.46420914550775
